Data Broker Name:,Registration ID:,Status:,Business Type:,Created Date:,Next Renewal Period Begins:,Termination Date:,Address:,Email Address:,Primary Internet Address:,"3. Does the data broker permit a consumer to opt out of the data broker’s collection of brokered personal information, opt out ofits databases or opt out of certain sales of data? :",a. What was the method for requesting an opt-out?,"b. If the opt-out applied to only certain activities or sales, which ones?",c. Does the data broker permit a consumer to authorize a third party to perform the opt-out on the consumer’s behalf?,"4. Statement specifying the data collection, databases or sales activities from which a consumer may not opt out:",5. Statement regarding whether the data broker implements a purchaser credentialing process:,6. The number of security breaches that the data broker experienced during the prior year:,  a. Total number of consumers affected by the breaches:,7. Does the data broker have actual knowledge that it possesses the brokered personal information of minors:,"If so, provide a statement detailing the data collection practices, databases, sales activities, and opt-out policies that are applicable to the brokered personal information of minors:",8. Any additional information or explanation the data broker chooses to provide concerning its data collection practices:
"FD Holdings, LLC dba Factual Data",352817,EXPIRED,Data Broker,1/31/2019,1/1/2020,2/1/2020,"5100 Hahns Peak Drive, Loveland, CO, 80538, USA",Legal@CBC-Companies.com,https://www.factualdata.com/,No,,,,Sale of consumer reports under the Fair Credit Reporting Act and identification information for uses permitted under the Gramm-Leach-Bliley Act.,Factual Data has implemented a purchaser credentialing process to ensure that purchasers are legitimate businesses that have a purpose permitted by law to access and use the information.,0,0,Yes,"Purchasers of Factual Data products are lenders who require borrowers to be the age of majority to enter contracts. However, if a request to access a credit report on a minor is mistakenly attempted, credit information is not returned.",None.
"Innovis Data Solutions, Inc.",352821,EXPIRED,Data Broker,1/31/2019,1/1/2020,2/1/2020,"250 East Broad Street, Columbus, OH, 43215, USA",Legal@CBC-Companies.com,https://www.innovis.com/,Yes,"To request removal from lists generated to make firm offers of credit or insurance, consumers may contact OptOutPrescreen at www.optoutprescreen.com or by calling 1-888-567-8688. Hearing impaired consumers call 7-1-1 and refer the Relay Operator to 1-800-821-9631.",The opt-out prevents a consumer’s information from being provided to creditors and insurers to make firm(preapproved/prescreened) offers of credit or insurance that are not initiated by the consumer.,"Third parties that are lawfully authorized to act on behalf of a consumer (e.g., legal parent, guardian, executor, administrator, etc.) may submit opt-out requests on behalf of a consumer.",Sale of consumer reports under the Fair Credit Reporting Act (with the exception of the lists generated to make firm offers of credit and insurance identified above) and identification information for uses permitted under the Gramm-Leach-Bliley Act.,"Innovis Data Solutions, Inc. has implemented a purchaser credentialing process to ensure that purchasers are legitimate businesses that have a purpose permitted by law to access and use the information.",0,0,Yes,"Innovis does not output information on minors; however, Innovis is obligated under certain laws to create a file for minors upon request by a parent or legal guardian to place a security freeze on the minor’s file and therefore may possess brokered personal information of minors in that instance or if it receives information on minors from data furnishers.",None.
"Open Dealer Exchange, LLC dba 700 Credit, LLC",352837,EXPIRED,Data Broker,1/31/2019,1/1/2020,2/1/2020,"31440 Northwestern Hwy., SUITE 250, Farmington Hills, MI, 48334, USA",JBALBOA@OPENDEALEREXCHANGE.COM,700credit.com,Yes,"Consumers are provided bureau contact information which they may opt out of prescreen offers.  They are provided a mailing address, phone number and web site to opt out",This applies only to pre-screen offers.,No.,"700 Credit offers a credit report service to vehicle dealers, supplying credit reports to dealers in connection with their offers of credit to consumers. 700 Credit maintains a database of credit reports only for audit purposes and to comply with the FCRA. Consumers cannot opt out, as their credit is pulled in connection with offering them credit. 700 Credit makes no other use of the data it collects. Consumers to have the ability to freeze or lock their credit files with the credit bureaus.",Yes. There is a dealer credentialing process to ensure the dealer is a bona fide business and has a permissible purpose to access the data under the FCRA.,0,0,Yes,We do not believe we have any brokered personal information of minors.,Credit reports are only run on consumers who have provided authorization to access their credit file in connection with the purchase of a motor vehicle.
IHS Markit,352849,CANCELLED,Data Broker,1/31/2019,1/1/2020,2/1/2020,"26533 Evergreen, Ste. 1100, Southfield, MI, 48076, USA",bruce.noll@ihsmarkit.com,www.ihsmarkit.com,Yes,"Email, U.S. Mail or telephone.",The opt out applies to our marketing database.,No.,"The opt out only applies to our marketing database, not to any database relating to safety, regulatory or statutory matters.",Customers are vetted for appropriate security measures required by policy and law.,0,0,Yes,We have no actual knowledge of an individual's age.,NA
HealthCare.com,352996,EXPIRED,Data Broker,2/4/2019,1/1/2020,2/1/2020,"3401 N. Miami Avenue, Unit 205, Miami, FL, 33127, USA",info@healthcare.com,healthcare.com,Yes,"Any consumer that wishes to opt out of being contacted by HealthCare, Inc. or its partner companies  (after having earlier opted in) may do so by emailing  info@healthcare.com, by following the opt out instructions received from HealthCare.com or any partner company with whom the consumer’s information has been shared or by contacting the entity from which HealthCare.com acquired the consumer’s information.","Opt outs apply to all marketing activity concerning the consumer. The consumer’s information is otherwise only used for essential internal purposes (such as demonstrating compliance with applicable laws) and to communicate with the consumer for non-marketing purposes. If the consumer opts out, we may still send them non-marketing emails. Non-marketing emails include emails about our business dealings with the consumer.",Yes. In situations where a consumer opts out by communicating with the third party to whom they originally provided their information that third party will notify HealthCare.com and  HealthCare.com will in turn notify any partner companies to whom HealthCare.com has provided the consumer’s information.,Non-marketing emails include emails about our business dealings with the consumer.Retention of consumer information to demonstrate compliance with the Telephone Consumer Protection Act and other essential internal functions.,"HealthCare, Inc. does not collect credit card billing information or store this data.",0,0,Yes,"We do not knowingly collect personally identifiable information from anyone under 13 years of age. If we determine upon collection that information concerns a person under this age, we will not use or maintain his/her PII without the parent/guardian’s consent. If we become aware that we have unknowingly collected PII from a child under the age of 13, we will make reasonable efforts to delete such information from our records.",No.
"PeopleConnect, Inc.",353321,EXPIRED,Data Broker,2/11/2019,1/1/2020,2/1/2020,"1501 4th Avenue, Suite 400, Seattle, WA, 98101, USA",brad.toney@peopleconnect.us,www.peopleconnect.us,Yes,A consumer can opt out of having their personal information appear in the company's Intelius and US Search databases by submitting an online form available at https://www.intelius.com/optout.,"An opt-out will result in the consumer's name as it appears in a particular record selected by the consumer and the associated identifying information, such as their address and phone number, being suppressed. However, any time a consumer's identifying information appears in a public record, or in a publicly or commercially available manner, in a way that is different from the particular record they opted out, it may again appear in the company's databases.","Generally, the company does not authorize a third party to perform the opt-out on the consumer's behalf.",Consumers are allowed to opt out of all of the company's databases.,The company has not implemented a purchaser credentialing process.,0,0,Yes,"To the company's knowledge, it does not process any brokered personal information of minors.",The company does not have any additional information or explanation concerning its data collection practices.
First American Data Tree LLC,353629,EXPIRED,Data Broker,2/19/2019,1/1/2020,2/1/2020,"4 First American Way, Santa Ana, CA, 92707, USA",britchie-boland@firstam.com,www.datatree.com,No,,,,"DataTree collects data and information contained in the public record (the various Land Records offices in counties, cities and towns, county clerk, assessor’s office, etc.).  This public record information is made available to lenders, title insurance companies, and other real estate professionals in connection with examining real property title, value, liens, taxes, and associated real property issues.","Yes.Data Tree data and information is not made available to the public.Data Tree customers are required to pay a subscription fee and required to enter into a license agreement prior to being provided with website credentials and access.In addition,Data Tree licenses data to businesses and real estate professionals such as mortgage lenders,title insurance underwriters&agents,appraisers,real estate agents,government divisions(DOT,Utilities,etc.),home improvement companies,universities,and attys.",0,0,Yes,N/A.  Data Tree does not have personal knowledge that it possesses the brokered personal information of minors.,"Out of an abundance of caution, Data Tree is registering as a Data Broker.  Note, however, information maintained and licensed by Data Tree that potentially qualifies as “brokered personal information” (as defined in V.S.A. section 2430(1), is also available via the public record."
"Nexxa Group, Inc.",354193,EXPIRED,Data Broker,3/5/2019,1/1/2020,2/1/2020,"12734 Kenwood Lane, Ste 87, Fort Myers, VT, 33907 - 5638, USA",h.paulus@nexxagroup.com,www.nexxagroup.com,Yes,Method for requesting a opt-out must be in writing and emailed to optout@nexxagroup.com,Opt-out applies to marketing leads from 3rd party data,"Yes, we accept an consumer authorized third party request for Opt-out on the consumers behalf. Must be submitted in writing.",Marketing leads from third party database suppliers or licensed third party data.,Nexxa has a required purchaser credentialing and onboarding process prior to release of any marketing leads.,0,0,Yes,N/A,No data collection
STERLING DATA LLC,354348,EXPIRED,Data Broker,3/7/2019,1/1/2020,2/1/2020,"1801 Crystal Drive, Apt 206, Arlington, VA, 22202, USA",abe.usher@sterlingd.com,http://sterlingd.com,Yes,See attached.,See attached.,See attached.,See attached.,See attached.,0,0,Yes,See attached.,See attached.
"JVerify, Inc.",355581,EXPIRED,Data Broker,4/2/2019,1/1/2020,2/1/2020,"1001 Texas Avenue, Suite 1400, Houston, TX, 77002, USA",admin@jverify.com,https://www.jverify.com,Yes,Removal of PII records of which JVerify stores for non-regulatory reasons may be requested through the support desk located at: https://help.jverify.com or via email at support@jverify.com,Only records retained by JVerify for non-regulatory purposes may be requested for removal.JVerify does not retain authority over customer retained records or records retained by 3rd parties. Removal of customer or 3rd party records should be requested directly from the appropriate legal entity.Records retained for regulatory purposes may not be removed pursuant to federal and/or state law.,"JVerify will permit an authorized 3rd party to perform an opt-out request upon the receipt of a notarized Power of Attorney listing the task (including a full power of attorney). The appropriate language for the opt-out request can be found at help.jverify.com. In the event of a request on the behalf of a deceased party, upon receipt of a death certificate, JVerify will use reasonable efforts to assist a person legally connected to the deceased party with their request for record removal.",JVerify does not have authority or access to (in some cases) PII data collected by its customers. JVerify only provides the service and mechanism in which this data is stored under which condition the legal entity of whom collected the PII data must be contact for removal of records retained by that entity.PII data stored for regulatory purposes pursuant to applicable state and/or federal law may not be removed for any reason unless the mandated legal retention period has elapsed.,JVerify implements a purchaser credentialing process for all account holders and only entities that are legally incorporated are permitted to be account holders.JVerify's credentialing process is financial grade and compliant with certification rules pursuant to 31 CFR § 1010.230.,0,0,Yes,"Other than when required by law, retention of PII data of persons under the age of 18 is not permitted by JVerify; provided that PII data may be stored when required for regulatory purposes, temporary storage of data for age verification purposes and limited data for record retention.Temporary data is automatically removed from JVerify servers within 24 hours of submission and limited data is restricted to the subject ""name"" and ""date"" on which the verification was attempted.",All data collected by JVerify during the identity verification process is collected with the written consent of the customer.
"Social Catfish, LLC",355892,EXPIRED,Data Broker,4/9/2019,1/1/2020,2/1/2020,"38770 Sky Canyon Drive, Suite A, Murrieta, CA, 92562, USA",welcome@socialcatfish.com,https://socialcatfish.com/,Yes,"https://socialcatfish.com/opt-out/ Also, a consumer can opt out by calling 1-844-422-8347 or emailing welcome@socialcatfish.com and provide the links and information they want removed. A user can also opt out by sending a letter to 39252 Winchester Rd, STE 107 #228, Murrieta, CA 92563. Consumers can also opt out of emails by clicking on the opt-out link at the bottom of the email.",A consumer may opt out of ALL activities.,Yes,There are not any activities which a consumer may not opt out of. A consumer may opt out of all activities at their discretion.,"Yes, we doo have a purchaser credentialing process in place. We require users to select reasons(s) as to how they're using the service. They also have to agree that they won't use our service for anything illegal or anything that requires FCRA guidelines including credit screening, tenant screening, insurance, and credit reporting before they can access the data.",0,0,No,,
"FullContact, Inc.",357078,EXPIRED,Data Broker,5/7/2019,1/1/2020,2/1/2020,"1200 17th Street, Suite 13-103, Denver, CO, 80202, USA",legal@fullcontact.com,fullcontact.com,Yes,"A consumer can opt-out by using the ""Own Your Personal Data"" capability in our Privacy Center located at: ttps://www.fullcontact.com/privacy-center/",The opt-out can be applied to all activities,"The ""Own Your Personal Data"" capability is not set up for third parties to perform the opt-out, but if a consumer wanted to reach out to us via email (using a third party), we would also honor that opt-out provided we could confirm the consumer's identity.","If a consumer opts out, we retain some data for the sole purpose of preventing that consumer's data from re-entering our databases.  This retained data is not used for any other purpose.",FullContact does not use a purchaser credentialing process.,0,0,No,,"FullContact has described its data collection, usage, sharing and retention practices at https://www.fullcontact.com/privacy-center/"
Search America LLC,357400,EXPIRED,Data Broker,5/14/2019,1/1/2020,2/1/2020,"PO Box 3168, Peabody, MA, 01961, USA",dserrano@locateplus.com,locateplus.com,Yes,"Search America LLC optains its data from various sources.If consumer requests information to opt out, we instruct them to contact the data providers since we do not store the data.",NO,Yes,able to opt out of all,yes all businesses that wish to sign up for our service must go thru a credentialing process.,0,0,No,,
"Experian Marketing Solutions, Inc.",352838,EXPIRED,Data Broker,1/31/2019,1/1/2020,2/1/2020,"475 Anton Blvd, Costa Mesa, CA, 92626, USA",NA,http://www.experian.com/marketing-services/marketing-services.html,Yes,"Consumers may opt-out via email, mail or phone.",Omniactivation Strategic Services DMAChoice MailDMA Telephone Preference ServicesDo Not Call Registry Experian Telemarketing listsExperian EmailExperian Permission-Based Email DatabaseOnline Targeted AdvertisingPartner Programs,"Yes, a third party can request to opt-out on the consumer’s behalf if the opt-out request is accompanied by sufficient evidence that the third-party is authorized to act on behalf of the consumer. This would be applicable for DMAChoice and DMA Telephone Services, as well as Partner Programs.",Consumers may only opt out of the sale of information associated with the activities described in section 3(b).,Experian Marketing Solutions has a membership/credentialing process in which all clients must undergo prior to being onboarded. Clients are vetted in accordance with OFAC and other internal alert lists before allowing the client to proceed with obtaining any information.,0,0,Yes,Experian Marketing Solution does not possess brokered personal information of minors.,NA
Localblox,360455,EXPIRED,Data Broker,7/23/2019,1/1/2020,2/1/2020,"5684 173rd Ave SE, Bellevue, WA, 98006, USA",Sabira@localblox.com,5684 173rd Ave SE,Yes,Privacy policy explained on the website http://consumer.localblox.com/Privacy_PolicyAnd also has an opt out option that sends an email,"Opt out can be applied by an individual for their data , we verify the identity for the individual",No,"We are a technology company, we source data from various publishers where consumers optin and the data is compliance Additionally we look at publicly available information about a consumer and transform that information into intelligence such","The only company /customer that takes our consumer data  is a company that serves two third of amercia’s911 system that is powered by our data. When a 911 call is made , they are trying to detect who is calling/where the call is coming from , the consumer data is used We also doing pilot cases for  For fraud prevention and identity theft prevention using the data",0,0,No,,The data collection process is based on publicly available data with no logged in crawling
"NOVA List Company, LLC",360554,EXPIRED,Data Broker,7/25/2019,1/1/2020,2/1/2020,"20130 LAKEVIEW CENTER PLZ STE 300, Ashburn, VA, 20147, USA",info@novalist.com,https://www.novalist.com/,Yes,"Website, telephone, fax or email",Opt-out applies to all,Yes,Our opt outs apply only to files that we manage to help our client contact potential new donors or members.,"We seek to work with only reputable organizations and try to work with partners are who are affiliated with Direct Marketing Association of Washington (DMAW), the Association of National Advertisers (ANA) or The Nonprofit Alliance.",0,0,No,,
"Media Direct, Inc.",360666,EXPIRED,Data Broker,7/29/2019,1/1/2020,2/1/2020,"1000 E. Hillsboro Blvd, #105, Deerfield Beach, FL, 33441, USA",slubin@digdev.com,https://www.digdevdirect.com,Yes,Every email has an opt-out link. There is also an opt out on the corporate site in the footer and on all data collection websites.,An opt-out request removes the data from the entire database.,We allow all to opt-out.,Consumer can opt out of everything.,"Media Direct does not implement a purchase credentialing process, unless the purchaser is requesting credit.",0,0,No,,No
"Giant Partners, Inc.",363597,EXPIRED,Data Broker,10/9/2019,1/1/2020,2/1/2020,"1461 Lawrence Dr., 2nd Floor, Thousand Oaks, CA, 91320, USA",nikki@giantpartners.com,www.giantpartners.com,Yes,"There are several ways consumers can opt-put to make it easiest for them and their mode of communication.  They are able to:-Email directly to info@giantpartners.com to request to be removed/opt-out-Fill out a removal/opt-out request via our ""Contact Us"" page - https://giantpartners.com/contact-us/-Call our corporate office at 805-267-1575 and request to be removed/opt-out",N/A,Yes,None,None,0,0,No,,Nothing additional.
"Gravy Analytics, Inc.",364915,EXPIRED,Data Broker,11/14/2019,1/1/2020,2/1/2020,"45610 Woodland Rd., Suite 100, Sterling, VA, 20166, USA",legal@gravyanalytics.com,https://gravyanalytics.com/,Yes,1) Consumers may fill out a form with their mobile ad ID (https://gravyanalytics.com/opt-out-form/). We willremove all data we have in our data sets from such mobile ad ID.2) Gravy Analytics additionally requires all of our data providers to notify us of any opt-outs they may receive.,Opt-out applies to all of our commercial services/sales.,"Yes, to the extant a third party uses the form on behalf of the consumer and we can verify the consumer has consented to the third party acting on its behalf.","A consumer may opt out of all data collection and sharing, provided, however, Gravy may retain copies asrequired to prevent later re-import, as required by law, as required to maintain adequate safeguards, and forother reasons as described in our privacy policy (http://docs.gravyanalytics.com/privacypolicy.html).","Gravy Analytics carefully vets each client, including their intended data use.",0,0,No,,"Gravy Analytics takes privacy seriously. Our data providers are required to complete a privacy questionnaireand are contractually bound to represent and warrant they have complied with all applicable laws as it relatesto their collection, use, and transfer of consumer data."
"ID Analytics, LLC",365699,EXPIRED,Data Broker,12/9/2019,1/1/2020,2/1/2020,"15253 Avenue of Scie, San Diego, CA, 92128, USA",ken_meiser@symantec.com,www.idanalytics.com,No,,,,"ID Analytics provides fraud and risk mitigation services pursuant to the exceptions set forth in the GLBA (15 USC 6802(e)) which provides federal exemption for consumer opt-out. No client or consumer contributed PII is used for marketing, list generation, or other non-risk services. Normally, IDA does not deliver or provide clients with PII; rather, only a numeric risk score or grade are provided. Limited PII disclosure can be made to credentialed clients iaw federal KYC and FTC Red Flags cases.","All IDA clients are credentialed, and credentialing processes have been in place for a number of years.  IDA services only clients that are business enterprises and only for the risk mitigation purposes described above.   Entity credentialing, as well contractual review and client-affirmation of GLBA-compliant use is required.  For those clients accessing services (<5% of transactions) that might return corrected/updated PII elements, an additional risk review and contractual terms are required",0,0,Yes,"Data could be submitted on minors, but if received, technical controls are in place to highlight instances when the request is determined to be on a minor.","IDA provides anti-fraud and risk mitigation services pursuant to the exceptions set forth in the GLB Act (15 USC 6802(e)).   No client or consumer contributed PII is used for marketing, list generation, or other non-risk services.   Normally, IDA does not deliver or provide clients with PII; rather, only a numeric risk scores or grade is provided.   In certain instances, corrective PII and authentication services are provided to credentialed financial services and telecommunications companies."
"SageStream, LLC",365700,EXPIRED,Data Broker,12/9/2019,1/1/2020,2/1/2020,"15253 Avenue of Scie, San Diego, CA, 92128, USA",ken_meiser@symantec.com,www.sagestreamllc.com,Yes,"SageStream LLC (“SageStream”) delivers credit scores and attributes to clients who submit sufficient PII to identify a consumer and have permissible purposes in accordance with the Fair Credit Reporting Act (“FCRA”) and Vermont Fair Credit Reporting Statute (“VFCRS”).  Consumer disclosure, correction and opt out requests as required under the FCRA and VFCRS can be submitted via mail, phone or online. Specific details and proof of identity instructions are available at www.sagestreamllc.com","The FCRA and VFCRS allow for limited opt-out, most notably for (i) prescreen purposes, and (ii) providing consumers with the right to place a security freeze on their credit report/credit score in order to prevent such report/score from being delivered for new account opening events.  Events outlined in 15 U.S.C. §§1681b(e) of the FCRA, and 9 V.S.A. § 2480h(l) are supported by SageStream",NO,"SageStream is a consumer reporting agency as defined by the FCRA and the VCFRS.  SageStream delivers credit scores and attributes to commercial clients with permissible purpose in accordance with the FCRA and VFCRS.    As discussed above, the FCRA and VFCRS allow for limited but not absolute opt-out as well as consumer rights related to disclosure and correction","All SageStream clients are credentialed in accordance with credentialing processes that have been in place for a number of years.  As stated above, SageStream only provides credit risk scores and attributes to clients who have certified their respective permissible purposes for accessing such scores and attributes.   Credentialing of the client, contractual review, collection of per-event client permissible purpose certification and audits are required.",0,0,Yes,"As discussed above, SageStream delivers credit risk scores and attributes to clients in accordance with the FCRA and VFCRA.   In certain circumstances, the FCRA allows a consumer reporting agency to generate a consumer report on a minor (e.g., prescreen purposes) subject to certain requirements and limitations (see 15 U.S.C. §1681b(c)(1)(B)(iv). Technical controls are in place to highlight responses when the request is determined to be a minor.","As described above, SageStream is a consumer reporting agency that does not provide consumer PII to third parties.  Rather it delivers credit risk scores and attributes to its clients who (i) submit sufficient consumer PII to identify a consumer, and (ii) have certified their respective permissible purposes to access such scores and attributes in accordance with the FCRA and VFCRS."
Merkle Inc.,366588,ACTIVE,Data Broker,1/3/2020,1/1/2021,2/1/2021,"7001 Columbia Gateway Drive, Columbia, MD, 21046, USA",jherman@merkleinc.com,https://www.merkleinc.com/,Yes,"email via merkleinc.com website, phone call, or postal mail",Sales,Yes,Not applicable,Yes.,0,0,No,,"We do not actively seek to collect personal data about children aged 16 or under. If you have any concerns about your child’s privacy in relation to our services, or if you believe that your child under the age of 16 may have entered personal data onto our website, please contact us at dpous@merkleinc.com. We will delete such personal data from our records or seek verifiable parental or legal guardian consent to retain such information within a reasonable time."
"General Information Solutions LLC (""GIS"")",366589,ACTIVE,Data Broker,1/3/2020,1/1/2021,2/1/2021,"917 Chapin Road, Chapin, SC, 29036, USA","Jamie Pelchat, jpelchat@geninfo.com",www.geninfo.com,No,,,,"GIS provides background screening services that involve searching for, obtaining and providing public records information (such as court, prison, and law enforcement records,sex offender registry records, and sanction records); education, employment, and license verification information; retail theft database searches; media and social media searches; and Social Security number validation, name and address history, and other identity verifications. (continued in Section 8)","Yes, GIS credentials all new customers to verify their identity, physical address, business purpose and purpose for ordering background reports. With only limited exceptions (such as for publicly traded companies and federally regulated financial institutions), GIS also performs an on-site physical inspection of all new customers.",0,0,Yes,"On occasion, GIS may be asked to provide background screening services in relation to a minor; for example, when a minor has applied for a job. GIS's practices as they relate to minors are the same as those described in response to question #4.","(continued from #4) Typically, those services are provided directly to end-users whohave obtained the express authorization for the end-user to obtain, and for Company to provide, the background report. Sometimes, however, Company’s services are provided to another background screening company that will provide the background report to the end-user. Whether provided directly or indirectly, the consumer has always authorized the procurement of the background report by the end-user."
InCheck Inc,351573,ACTIVE,Data Broker,1/3/2019,1/1/2021,2/1/2021,"7500 W. State St. Ste. 200, Wauwatosa, WI, 53213, USA",jen@incheck.net,https://incheck.net/,Yes,InCheck conducts pre-employment background screening. Applicants may opt-out of providing personally identifiable information (PII) by skipping over requests for additional PII in onboarding documents. At any time during the background screening process the applicant may also opt-out of the background screening process by notifying InCheck or their prospective employer that he/or she is no longer interested in the position or would no longer like to proceed with the background check.,"Applicants may opt-out of providing specific personally identifiable information, such as a social security number or previous address. InCheck will only collect PII if the applicant voluntarily chooses to provide such information. Additionally, applicant may opt-out of the background screening process all together if they no longer wish to proceed with position or the background screening process.",Yes. The applicant may notify the prospective employer of his or her desire to no longer pursue the position or continue with the background screening process. The employer will relay this to InCheck and we will then cease the background screening process and no additional information is collected on the applicant.,"Applicants are required to provide InCheck at minimum, their first name, last name and date of birth.","InCheck was accredited by the National Association of Professional Background Screeners in 2017. To be accredited InCheck must meet certain standards. One of which includes ensuring our clients are legitimate businesses. This includes required proof of business documentation. Additionally, all clients are required to sign end-user agreements certifying their company will abide by applicable state, local and federal laws.",0,0,Yes,"InCheck only conducts background checks on minor applicants if authorization is obtained by the minor's parent(s) or legal guardian(s). InCheck collects personal information of minors from court documents only if the court proceeding occurred in a non-juvenile criminal court. Per the Fair Credit Reporting Act, InCheck does not collect personal information associated with any juvenile cases/sealed cases.","InCheck utilizes Secure Socket Layer (SSL) data encryption when data is transmitted over the internet to the website and utilizes layered firewalls and other security technologies to prevent further unauthorized access. InCheck also has other administrative, technical, and physical safeguards in place designed to protect the information that InCheck collects. Access to PII is limited to InCheck employees who need access in order to carry out their job responsibilities."
Nuwber Inc,366757,ACTIVE,Data Broker,1/7/2020,1/1/2021,2/1/2021,"901 N Pitt Street, Suite 170, Alexandria, VA, 22314, USA",tb@nuwber.com,https://nuwber.com/,Yes,Customers can opt-out using a self-help tool located at https://nuwber.com/removal/link or by emailing at support@nuwber.com or by calling at (209) 251-1302,A consumer may opt-out from appearing in free and paid search results on nuwber.com.,"Yes. Nuwber allows prompt and free opt-out, there is no need for a person to hire or pay a fee to a third-party to obtain removal of their information from Nuwber. Nuwber does not accept bulk opt-out requests",A consumer’s name may continue to appear in another individual’s report as a “related person”.,Nuwber asks purchasers to confirm they do not use information from Nuwber for any purpose under the Fair Credit Reporting Act.,0,0,Yes,Nuwber does not knowingly acquire and possess the brokered personal information of minors.,N/A
Lender Feed LC,366818,ACTIVE,Data Broker,1/8/2020,1/1/2021,2/1/2021,"310 E 4500 S, 270, Murray, UT, 84107, USA",support@monitorbase.com,https://ww3.monitorbase.com/,Yes,You may request to exercise your rights by:Calling us at (888) 795-6575Emailing your request to privacy@monitorbase.com Only you may make a verifiable consumer request related to your personal information. You may also make a verifiable consumer request on behalf of your minor child.You may only make a verifiable request to exercise your rights twice within a 12-month period. The verifiable consumer request must:Provide sufficient information that allows us to reasonably verify you are t,N/A,No,None,"Yes, we do an extensive vetting process on entities before allowing them to purchase any data. We ensure during this process that they have a valid purpose to purchase the data and that they are located in the United States.",0,0,No,,MonitorBase does not collect information directly from consumers. We are a business-to-business software service provider. MonitorBase processes public data available through government agencies and prescreened consumer reports that are regulated under the Fair Credit Reporting Act.
"L2, Inc.",354176,ACTIVE,Data Broker,3/4/2019,1/1/2021,2/1/2021,"18912 North Creek Parkway, Bldg 1, Suite 201, Bothell, WA, 98011, USA",bruce.willsie@L2Political.com,www.L2Political.com,Yes,Contact L2 via email with name and address for opt-out of our commercial databases.  Email should be sent to OptOut@L2Political.com,All commercial databases.,No.,L2 will delete all commercial records for Vermont citizens wishing to opt-out of its commercial databases.  For Vermont citizens to opt-out of political communication they must deal directly with the Vermont State Board of Elections.,L2 has always vetted its purchasers and notified them of their responsibility for adhering to all legal restrictions applicable to their use of data acquired from L2.,0,0,Yes,L2 does not knowingly acquire or maintain any information on minors.,None.
"Nexxa Group, Inc.",366904,ACTIVE,Data Broker,1/10/2020,1/1/2021,2/1/2021,"12734 Kenwood Lane, Ste 87, Fort Myers, FL, 33907 - 5638, USA",h.paulus@nexxagroup.com,www.nexxagroup.com,Yes,Method of requesting a opt-out must be in writing and emailed to consumerchoice@nexxagroup.com.,Opt-out applies to marketing leads provided by Nexxa from 3rd party data sources.,"Yes, we accept a Consumer authorized third party to perform the opt-out on the consumer behalf. Third party must provide verification of authorization. Request must be submitted in writing.",Marketing leads from third party database suppliers or licensed third party data.,Nexxa has a required purchaser credentialing and onboarding process prior to release of any marketing leads.,0,0,No,,No data collection
SageStream LLC,366916,ACTIVE,Data Broker,1/10/2020,1/1/2021,2/1/2021,"15253 Avenue of Science, San Diego, CA, 92128, USA",ken_meiser@symantec.com,www.sagestreamllc.com,Yes,"SageStream LLC (“SageStream”) delivers credit scores and attributes to clients who submit sufficient PII to identify a consumer and have permissible purposes in accordance with the Fair Credit Reporting Act (“FCRA”) and Vermont Fair Credit Reporting Statute (“VFCRS”). Consumer disclosure, correction and opt out requests as required under the FCRA and VFCRS can be submitted  online via mail, or by phone. Specific details and proof of identity instructions are available at www. sagestreamllc.com.","SageStream delivers credit scores and attributes to clients who submit sufficient PII to identify a consumer, and have permissible purposes in accordance with the FCRA VFCRS. The FCRA and VFCRS allow for limited opt-out and grant other consumer rights. Even with a security freeze or opt-out in place, events outlined in 15 U.S.C. §1681b(e), and 9 V.S.A. § 2480h(l) will remain supported by SageStream",No,"SageStream is a consumer reporting agency as defined by the FCRA and the VCFRS. SageStream delivers credit scores and attributes to commercial clients with permissible purpose in accordance with the FCRA and VFCRS. As discussed above, the FCRA and VFCRS allow for limited, but not absolute opt-out as well as additional consumer rights related to disclosure and correction","All SageStream clients are credentialed in accordance with credentialing processes that have been in place for a number of years. As stated above, SageStream only provides credit risk scores and attributes to clients who have certified their respective permissible purposes for accessing such scores and attributes. Credentialing of the client, contractual review, collection of per-event client permissible purpose certification and audits are required",0,0,Yes,"As discussed above, SageStream delivers credit risk scores and attributes to clients in accordance with the FCRA and VFCRA. In certain circumstances, the FCRA allows a consumer reporting agency to generate a consumer report on a minor (e.g., prescreen purposes) subject to certain requirements and limitations (see 15 U.S.C. §1681b(c)(1)(B)(iv). Technical controls are in place to highlight responses when the request is determined to be a minor.","As described above, SageStream is a consumer reporting agency that does not provide consumer PII to third parties. Rather itdelivers credit risk scores and attributes to its business clients who (i) submit sufficient consumer PII to identify a consumer, and (ii)have certified their respective permissible purposes to access such scores and attributes in accordance with the FCRA and VFCRS."
